Machine learning improves pattern recognition performance.,Machine learning(머신러닝)은 패턴 인식 성능을 향상시킨다.
Deep learning models require substantial computation power.,Deep learning(딥러닝) 모델은 상당한 컴퓨테이션 파워가 필요하다.
Big data analytics supports real-time decision making.,Big data analytics(빅데이터 아날리틱스)은 실시간 의사결정을 지원한다.
The research team used cloud computing for scalability.,연구팀은 scalability를 위해 cloud computing(클라우드 컴퓨팅)을 활용했다.
Neural networks can approximate complex functions.,Neural networks(뉴럴 네트워크)는 복잡한 함수를 근사할 수 있다.
Data mining techniques help extract hidden patterns.,Data mining(데이터 마이닝) 기법은 숨겨진 패턴을 추출하는 데 도움을 준다.
The algorithm uses reinforcement learning to optimize actions.,이 알고리즘은 액션 최적화를 위해 reinforcement learning(리인포스먼트 러닝)을 사용한다.
Statistical modeling supports quantitative analysis.,Statistical modeling(스태티스티컬 모델링)은 정량 분석을 지원한다.
The simulation incorporates Monte Carlo sampling.,이 시뮬레이션은 Monte Carlo(몬테카를로) 샘플링을 포함한다.
Natural language processing enables text understanding.,Natural language processing(NLP)(내추럴 랭귀지 프로세싱)은 텍스트 이해를 가능하게 한다.
The study applies computer vision to detect plant diseases.,본 연구는 plant disease 감지를 위해 computer vision(컴퓨터 비전)을 적용한다.
High-performance computing accelerates model training.,High-performance computing(HPC)(하이 퍼포먼스 컴퓨팅)은 모델 트레이닝을 가속한다.
Feature extraction improves classification accuracy.,Feature extraction(피처 익스트랙션)은 분류 정확도를 향상시킨다.
The dataset was normalized using standard scaling.,데이터셋은 standard scaling(스탠다드 스케일링)으로 노멀라이즈되었다.
Dimensionality reduction helps visualize complex data.,Dimensionality reduction(다이멘셔널리티 리덕션)은 복잡한 데이터를 시각화하는 데 도움을 준다.
The research utilized GPU acceleration for computation.,연구는 컴퓨테이션을 위해 GPU acceleration(GPU 액셀러레이션)을 활용했다.
The pipeline includes automated preprocessing steps.,파이프라인은 automated preprocessing(오토메이티드 프리프로세싱) 단계를 포함한다.
We performed hierarchical clustering to group samples.,우리는 hierarchical clustering(하이러키컬 클러스터링)으로 샘플을 그룹화했다.
The neural architecture improves predictive power.,이 neural architecture(뉴럴 아키텍처)는 예측 성능을 향상시킨다.
Machine translation models are trained on large corpora.,Machine translation(머신 트랜슬레이션) 모델은 대규모 코퍼라에서 학습된다.
The method uses gradient descent for optimization.,이 방법은 최적화를 위해 gradient descent(그래디언트 디센트)를 사용한다.
Transfer learning reduces training time.,Transfer learning(트랜스퍼 러닝)은 트레이닝 시간을 줄여준다.
The classifier achieved high accuracy after tuning.,클래시파이어는 튜닝 후 high accuracy(하이 어큐러시)를 달성했다.
The dataset includes multi-omics profiles.,데이터셋은 multi-omics(멀티오믹스) 프로파일을 포함한다.
The model's inference speed was significantly improved.,모델의 inference(인퍼런스) 속도가 크게 향상되었다.
The researchers used 3D reconstruction techniques.,연구자들은 3D reconstruction(쓰리디 리컨스트럭션) 기술을 사용했다.
Image augmentation increases training diversity.,Image augmentation(이미지 어그멘테이션)은 트레이닝 다양성을 높인다.
The study applied Bayesian optimization for parameter search.,본 연구는 파라미터 탐색을 위해 Bayesian optimization(베이지안 옵티마이제이션)을 적용했다.
The workflow integrates automated quality control.,워크플로우는 automated quality control(오토메이티드 퀄리티 컨트롤)을 통합한다.
Sequence alignment was performed using a standard tool.,시퀀스 alignment(알라인먼트)는 표준 도구를 사용해 수행되었다.
The sensor network monitors environmental conditions.,Sensor network(센서 네트워크)는 환경 조건을 모니터링한다.
Predictive analytics enables proactive management.,Predictive analytics(프레딕티브 아날리틱스)는 사전 관리 전략을 가능하게 한다.
The platform supports distributed computing tasks.,이 플랫폼은 distributed computing(디스트리뷰티드 컴퓨팅) 작업을 지원한다.
The algorithm incorporates stochastic sampling.,이 알고리즘은 stochastic sampling(스토캐스틱 샘플링)을 포함한다.
The research utilized virtual machines for deployment.,연구는 배포를 위해 virtual machines(버추얼 머신)을 사용했다.
Signal processing improves noise reduction.,Signal processing(시그널 프로세싱)은 노이즈 리덕션을 향상시킨다.
The software implements a multi-agent system.,이 소프트웨어는 multi-agent system(멀티 에이전트 시스템)을 구현한다.
The analysis used principal component analysis.,분석에는 PCA(Principal component analysis)(프린시펄 컴포넌트 애널리시스)를 사용했다.
The model integrates attention mechanisms.,모델은 attention mechanism(어텐션 메커니즘)을 통합한다.
The study uses a convolutional architecture.,본 연구는 convolutional architecture(컨볼루셔널 아키텍처)를 사용한다.
Recurrent networks capture sequential patterns.,Recurrent networks(리커런트 네트워크)는 시퀀스 패턴을 포착한다.
The inference pipeline processes text in real time.,Inference pipeline(인퍼런스 파이프라인)은 실시간 텍스트 처리한다.
The dataset was collected from IoT devices.,데이터셋은 IoT devices(아이오티 디바이스)에서 수집되었다.
The experiment used a reinforcement agent.,실험은 reinforcement agent(리인포스먼트 에이전트)를 사용했다.
Text embeddings represent semantic meaning.,Text embeddings(텍스트 임베딩)은 의미 정보를 표현한다.
The training process used batch normalization.,트레이닝 과정은 batch normalization(배치 노멀라이제이션)을 사용했다.
Graph analytics helps explore network structure.,Graph analytics(그래프 아날리틱스)는 네트워크 구조 탐색에 유용하다.
Model compression improves deployment efficiency.,Model compression(모델 컴프레션)은 배포 효율을 향상시킨다.
The algorithm supports parallel processing.,이 알고리즘은 parallel processing(패러렐 프로세싱)을 지원한다.
